poisoning_level,seed,poisoned_samples,accuracy,precision,recall,f1,repetition
0,101,0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,1
0,202,0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,2
0,303,0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,3
0,404,0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,4
0,505,0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,5
0,606,0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,6
0,707,0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,7
0,808,0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,8
0,909,0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,9
0,1001,0,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,10
5,101,6,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,1
5,202,6,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,2
5,303,6,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,3
5,404,6,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,4
5,505,6,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,5
5,606,6,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,6
5,707,6,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,7
5,808,6,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,8
5,909,6,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,9
5,1001,6,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,10
10,101,12,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,1
10,202,12,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,2
10,303,12,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,3
10,404,12,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,4
10,505,12,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,5
10,606,12,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,6
10,707,12,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,7
10,808,12,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,8
10,909,12,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,9
10,1001,12,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,10
50,101,60,0.6666666666666666,0.45248868778280543,0.6666666666666666,0.5367686527106817,1
50,202,60,0.6666666666666666,0.45248868778280543,0.6666666666666666,0.5367686527106817,2
50,303,60,0.6666666666666666,0.45248868778280543,0.6666666666666666,0.5367686527106817,3
50,404,60,0.6666666666666666,0.45248868778280543,0.6666666666666666,0.5367686527106817,4
50,505,60,0.6666666666666666,0.45248868778280543,0.6666666666666666,0.5367686527106817,5
50,606,60,0.6666666666666666,0.45248868778280543,0.6666666666666666,0.5367686527106817,6
50,707,60,0.6666666666666666,0.45248868778280543,0.6666666666666666,0.5367686527106817,7
50,808,60,0.6666666666666666,0.45248868778280543,0.6666666666666666,0.5367686527106817,8
50,909,60,0.6666666666666666,0.45248868778280543,0.6666666666666666,0.5367686527106817,9
50,1001,60,0.6666666666666666,0.45248868778280543,0.6666666666666666,0.5367686527106817,10
